XBRL_Tag,Category,Notes
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,Liabilities,Combined current and non-current payables
AssetRetirementObligationsNoncurrent,Liabilities,Long-term asset retirement obligations
CommitmentsAndContingencies,Other,Not an actual balance - disclosure only
CostsAndExpenses,Expenses,Total operating costs
DeferredIncomeTaxesAndOtherLiabilitiesNoncurrent,Liabilities,Mixed deferred tax and other liabilities
EarningsPerShareBasicAndDiluted,Income,When basic = diluted EPS
EnergyRelatedInventory,Assets,Industry-specific inventory
GainLossOnDispositionOfAssets,Income,Non-operating gains/losses on asset sales
ImpairmentOfOilAndGasProperties,Expenses,Industry-specific asset impairment
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,Income,Pre-tax income from continuing operations
OilAndGasProductionExpense,Expenses,Industry-specific production costs
OilAndGasRevenue,Revenue,Industry-specific revenue
UnrealizedGainLossOnDerivativesAndCommodityContracts,Income,Mark-to-market derivative adjustments
GainLossOnSaleOfOilAndGasProperty,Income,Asset sale gains/losses
ProvisionForDoubtfulAccounts,Expenses,Bad debt expense
AccumulatedOtherComprehensiveIncomeLossNetOfTax,Equity,Component of stockholders equity
AmortizationOfFinancingCostsAndDiscounts,Expenses,Debt-related amortization expense
ComprehensiveIncomeNetOfTax,Income,Net income plus other comprehensive income
GainsLossesOnExtinguishmentOfDebt,Income,Debt refinancing gains/losses
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,Cash Flow,Working capital change - operating activity
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,Cash Flow,Working capital change - operating activity
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,Income,OCI attributable to parent company
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,Income,Reclassification of hedge gains/losses from AOCI
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,Income,Current period unrealized derivative gains
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,Income,Unrealized investment gains
PaymentsToAcquireAvailableForSaleSecurities,Cash Flow,Investment purchases - investing activity
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,Cash Flow,Investment sales/maturities - investing activity
RepaymentsOfLongTermDebtAndCapitalSecurities,Cash Flow,Debt repayments - financing activity
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,Equity,Equity component of convertible debt
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,Equity,Stock compensation adjustments to APIC
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,Equity,Tax benefit from stock compensation
AllocatedShareBasedCompensationExpense,Expenses,Stock-based compensation expense
DeferredFinanceCostsNoncurrentNet,Assets,Capitalized debt issuance costs
GainLossOnDerivativeInstrumentsNetPretax,Income,Net derivative gains/losses
GainLossOnSaleOfDerivatives,Income,Derivative sale gains/losses
IncreaseDecreaseInDeferredRevenue,Cash Flow,Deferred revenue changes - operating activity
IncreaseDecreaseInRestrictedCashForOperatingActivities,Cash Flow,Restricted cash used in operations
InventoryWriteDown,Cost,Inventory impairment charge
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterest,Cash Flow,Distributions to minority holders - financing
NetIncomeLossAttributableToNoncontrollingInterest,Income,Minority interest in earnings
OperatingCostsAndExpenses,Expenses,Total operating expenses
OtherCostAndExpenseOperating,Expenses,Other operating costs
OtherSalesRevenueNet,Revenue,Other revenue streams
PaymentsForProceedsFromOtherInvestingActivities,Cash Flow,Other investing activities
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,Cash Flow,Tax withholding on RSUs - financing activity
PaymentsToMinorityShareholders,Cash Flow,Minority shareholder distributions
ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,Cash Flow,Restricted cash financing activity
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Equity,Total equity including minority interest
StockIssuedDuringPeriodSharesRestrictedStockAwardForfeited,Equity,RSA forfeitures (shares)
StockIssuedDuringPeriodSharesRestrictedStockAwardGross,Equity,RSA grants (shares)
StockIssuedDuringPeriodValueRestrictedStockAwardForfeitures,Equity,Value of forfeited RSAs
UnrealizedGainLossOnDerivatives,Income,Unrealized derivative gains/losses
DerivativeLiabilitiesNoncurrent,Liabilities,Non-current derivative liabilities
IncreaseDecreaseInOtherOperatingCapitalNet,Cash Flow,Other working capital changes
CostsAndExpensesRelatedParty,Expenses,Related party costs
DeferredIncomeTaxesAndTaxCredits,Liabilities,Deferred tax liabilities
DeferredPolicyAcquisitionCostAmortizationExpense,Expenses,Insurance-specific DAC amortization
DeferredPolicyAcquisitionCostsAndValueOfBusinessAcquired,Assets,Insurance-specific deferred acquisition costs
DefinedBenefitPlanPlanAmendments,Other,Pension plan amendment impact
DepositsAssets,Assets,Customer deposits held as assets
DividendsCommonStockCash,Cash Flow,Cash dividends paid - financing activity
DueFromRelatedParties,Assets,Related party receivables
EffectOfExchangeRateOnCashAndCashEquivalents,Cash Flow,Foreign exchange impact on cash
LeasesOperatingExpense,Expenses,Operating lease expense
PropertySubjectToOperatingLeaseGross,Assets,Property under operating lease
DeferredTaxAssetsGross,Assets,Gross deferred tax assets
DeferredTaxLiabilitiesGross,Liabilities,Gross deferred tax liabilities
IncreaseDecreaseInFairValueOfDerivatives,Cash Flow,Derivative fair value changes - operating
PaymentsForDerivativeInstrumentFinancingActivities,Cash Flow,Derivative-related financing payments
ProceedsFromDerivativeInstrumentFinancingActivities,Cash Flow,Derivative-related financing proceeds
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsGrantsInPeriodGross,Equity,Stock options granted (shares)
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,Equity,Stock options forfeited (shares)
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,Income,Foreign currency translation gains/losses
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,Income,Pension-related other comprehensive income
IncreaseDecreaseInEmployeeRelatedLiabilities,Cash Flow,Employee liability changes - operating
IncreaseDecreaseInOperatingLeaseLiability,Cash Flow,Operating lease liability changes
PaymentsForRepurchaseOfCommonStock,Cash Flow,Stock buybacks - financing activity
ProceedsFromSaleOfEquityMethodInvestments,Cash Flow,Equity method investment sales - investing
PaymentsToAcquireEquityMethodInvestments,Cash Flow,Equity method investment purchases - investing
GainLossOnSaleOfEquityInvestments,Income,Investment sale gains/losses
AmortizationOfDebtDiscountPremium,Expenses,Debt discount amortization
AccretionAmortizationOfDiscountsAndPremiumsInvestments,Income,Investment accretion income
InterestAndDividendIncomeOperating,Revenue,Operating interest and dividend income
RestructuringCharges,Expenses,Restructuring costs
RestructuringAndRelatedCostIncurredCost,Expenses,Restructuring expenses incurred
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,Income,Earnout fair value changes
PaymentsForProceedsFromProductiveAssets,Cash Flow,Productive asset transactions - investing
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,Assets,Accumulated depreciation on PP&E and leases
FinanceLeaseRightOfUseAssetAccumulatedAmortization,Assets,Finance lease ROU asset amortization
OperatingLeaseRightOfUseAsset,Assets,Operating lease right-of-use asset
OperatingLeaseLiabilityCurrent,Liabilities,Current portion of operating lease liability
OperatingLeaseLiabilityNoncurrent,Liabilities,Non-current operating lease liability
AssetImpairmentCharges,Expenses,Asset impairment charges
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,Equity,Shares issued for acquisition
