tag,category
EquityMethodInvestmentExcludingVariableInterestEntity,Assets
ProvisionforDoubtfulAccountsExcludingAmountsNotIncludedinProvision,Other
MortgageLoansOnRealEstateFaceAmountOfMortgages,Other
ProceedsFromAdditionOfOfUnitholdersUnits,Cash Flow
ConvertibleShareHoldersLoanTransferredToOwnershipInterestAcquirer,Equity
NetIncomeAttributableToControllingInterestsAndTransfersFromRedeemableNoncontrollingInterestsOperatingPartnership,Income
ProceedsFromDerivativeInstrumentsInInvestingActivities,Cash Flow
DeferredTaxAssetsCurrentAccruedExpenses,Expenses
BusinessCombinationConsiderationPayableCashNoncurrent,Assets
ScheduleOfSegmentReportingInformationZeroThreeFourNineFourZeroFourcCvTPnyGRNSeven,Other
NetIncomeLossAvailabletoCommonStockholdersBasicNetofParticipatingSecurities,Assets
RegistrationRightsPaymentforFailuretoMaintainEffectivenessMultiplierofthePurchasePricePercent,Cash Flow
CapitalLeasesSuccessiveRenewalPeriodsAvailableforLeaseAgreement,Equity
ContractsForAcquisitionOfPlantAndEquipmentBeingOrToBeExecuted,Assets
ConsolidatedOtcDerivativeAssetsNetOfCrossmaturityNetting,Assets
Chargessettledwithcommonunitsunitsissued,Other
TroubledDebtRestructuredLoansOutstandingAccrualStatus,Liabilities
TreasuryStockAcquiredAverageCostPerShare,Equity
SecuritiesLoanedAmountOffsetAgainstCollateral,Assets
RentPayableRelatedParty,Liabilities
ReceivablefromRedemptionofForeignOperations,Assets
PaymentsOnLoans,Cash Flow
NonRecourseLongTermDebtCurrent,Liabilities
DebtInstrumentStatedCouponRateInterestExpense,Expenses
OtherRestrictedAssetsCurrent,Assets
CapitalLeaseLeaseFinancingObligationsAndMortgageNotesPayable,Liabilities
NotesAndLoansReceivableRecordedInvestmentSixtyToNinetyDaysPastDue,Assets
AnnualSalesOfActoplus,Revenue
PreconfirmationLiabilitiesNotSubjectToCompromise,Liabilities
LoansAndLeasesReceivableNetReportedAmountExcludingLoansOfConsolidatedVariableInterestEntities,Assets
LetterofCreditReserveAmount,Other
LoansAndLeasesReceivableSpecificProvisionRecovery,Assets
EmployeeServiceCompensationCashAwards,Assets
OtherDeductionsNet,Other
LegalCostsLicenseFeesAndPreparationCosts,Expenses
DirectorsFeesAndLiabilityInsurance,Liabilities
ScheduleOfSharebasedPaymentAwardStockOptionsValuationAssumptionsZeroThreeFiveThreeThreeZerorphfmTwoGdlOnenm,Equity
LossesonDispositionofPropertyandIntangibleImpairment,Expenses
OtherPostretirementBenefitsPayments,Cash Flow
AcquisitionExpenseReimbursement,Expenses
EquityZeroThreeFiveThreeThreeZeroVqbkPtSNPWvV,Equity
IssuanceOfCommonStockForInvestmentInChinaOperatingCompany,Assets
DisposalGroupIncludingDiscontinuedOperationResearchAndDevelopmentExpense,Cost
EquipmentAcquiredThroughCapitalLeaseArrangements,Assets
EatonCorp.andcertainothersubsidiariesguaranteeofSeniorDebt,Liabilities
PercentageOfEconomicInterest,Other
IntangibleAssetsZeroThreeFourNineFiveZeroHmbxznlBFiverFiveTwo,Assets
NumberofSharesIssuedforloans,Equity
PledgedAssetsSeparatelyReportedPropertyPlantEquipmentPledgedAsCollateral,Assets
PaymentsOfDebtRestructuringAndExtinguishmentCosts,Expenses
UnbilledContractsReceivableCurrent,Assets
ScheduleOfAssetsAtFairValueZeroThreeFourNineFourZeroGKJFourzTTwowRNinexn,Assets
ConsultingAndAdvisoryRevenues,Revenue
LeverageRatioIncreaseInEventOfMaterialAcquisition,Other
TotalOutstandingPromissoryNotes,Other
LoansAndLeasesReceivableMaximumPercentageConsumerLoans,Assets
CostsOfBillingsOnCompletedContractsOrPrograms,Expenses
ConsumerAndCustomerDeposits,Other
ServiceChargeOnLoans,Other
GasMmcfPurchaseOfOilAndNaturalGasPropertiesInPlace,Cash Flow
ScheduleOfDisclosureOfSharebasedCompensationArrangementsBySharebasedPaymentAwardZeroThreeFiveThreeThreeZeroJNinepNPKzFourlzfy,Cash Flow
LoansReceivableCommercialAgricultural,Assets
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOptionsUnvestedOutstandingNumber,Equity
ProceedsFromUnconsolidatedJointVentureExcessOfCumulativeEarnings,Cash Flow
ComprehensiveIncomeLossFromEquityMethodInvestmentsNetOfTaxPeriodIncreaseDecrease,Assets
GainFromWriteoffOfLongagedPayables,Liabilities
IncomeTaxExpenseRelatedToUnfavorableTaxSettlement,Expenses
BusinessCombinationAcquisitionRelatedFairValueAdjustmentsRevenue,Revenue
SiteContingencyNumberOfSitesWithPotentialRemediationObligations,Liabilities
AccrualForEnvironmentalLossContingenciesUndiscountedDueInFourYearsNetOfEstimatedInsuranceProceeds,Cash Flow
ProceedsFromDispositionOfRealEstate,Cash Flow
ConcentrationsZeroThreeFiveZeroNineFourZeroZeroSevenTwoxLfxFourPrTccb,Other
ProceedsFromSaleVesselsToRelatedParties,Cash Flow
AssetRetirementObligationLiabilitiesRelatedToHeldForSale,Assets
LoansandLeasesReceivableLoansinProcessandUnamortizedLoanCommitmentandOriginationFeesandUnamortizedDiscountsorPremiums,Assets
ExtinguishmentofDebttodate,Liabilities
CurrentPortionOfDeferredGainOnSaleLeaseback,Liabilities
NetSalesPurchasesOfTradingSecurities,Revenue
NumberOfDevelopedMedicines,Other
ScheduleOfAssetsAndLiabilitiesAtFairValueZeroThreeFiveZeroThreeFourZeroZeroOnesZeroFiveTOnewZeroTSixlCEight,Assets
CommonandPreferredStockSharesAuthorized,Equity
AmortizationOfPremiumOnMarketableSecurities,Expenses
PaymentsToAcquireRetainedInterestInSecuritizedReceivables,Assets
MinimumPercentShareOfEachStateAnnualizedBaseRentThatCompanyOwned,Other
PercentageOfThresholdLimitForAmountSetAsideInReserveFundOfRegisteredCapital,Equity
SavingDepositsAndMoneyMarketAccounts,Other
MinorityInterestDecreaseFromDistributionsIncludingJointVentures,Other
Reversalofprioryearpatronageandredemptionestimates,Other
ServicingAssetatAmortizedCostAdditionsbyBusinessAcquisition,Assets
StockBasedCompensationCommonStockAndOptionsGrantedToEmployeesAmount,Equity
ShareInGrossMargin,Other
NonCashCollateralIssuedFinancialInstruments,Assets
LongTermDebtCurrentAndDebtInstrumentUnamortizedDiscount,Liabilities
UnderOverDistributedEarningsAttributableToCommonUnitHolders,Other
ContingentPaymentObligationEstablishedForSaleOfProductInConnectionWithAcquisition,Liabilities
ImpactofretrospectivelyadoptingnewaccountingguidanceonBenefitCosts,Expenses
OtherPayableToRelatedPartiesTransferredToSubscribedCapital,Liabilities
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForCurrencyTranslationAndOther,Other
