tag,actual,predicted,confidence,correct
EquityMethodInvestmentExcludingVariableInterestEntity,Assets,Equity,0.8772727847099304,False
ProvisionforDoubtfulAccountsExcludingAmountsNotIncludedinProvision,Other,Other,0.496602863073349,True
MortgageLoansOnRealEstateFaceAmountOfMortgages,Other,Cost,0.3482239544391632,False
ProceedsFromAdditionOfOfUnitholdersUnits,Cash Flow,Revenue,0.29066142439842224,False
ConvertibleShareHoldersLoanTransferredToOwnershipInterestAcquirer,Equity,Cost,0.21414779126644135,False
NetIncomeAttributableToControllingInterestsAndTransfersFromRedeemableNoncontrollingInterestsOperatingPartnership,Income,Income,0.8044896721839905,True
ProceedsFromDerivativeInstrumentsInInvestingActivities,Cash Flow,Revenue,0.29942551255226135,False
DeferredTaxAssetsCurrentAccruedExpenses,Expenses,Expenses,0.49185097217559814,True
BusinessCombinationConsiderationPayableCashNoncurrent,Assets,Other,0.27620285749435425,False
ScheduleOfSegmentReportingInformationZeroThreeFourNineFourZeroFourcCvTPnyGRNSeven,Other,Other,0.23357805609703064,True
NetIncomeLossAvailabletoCommonStockholdersBasicNetofParticipatingSecurities,Assets,Income,0.5450841188430786,False
RegistrationRightsPaymentforFailuretoMaintainEffectivenessMultiplierofthePurchasePricePercent,Cash Flow,Cost,0.4948779344558716,False
CapitalLeasesSuccessiveRenewalPeriodsAvailableforLeaseAgreement,Equity,Cost,0.3498506247997284,False
ContractsForAcquisitionOfPlantAndEquipmentBeingOrToBeExecuted,Assets,Assets,0.3974774181842804,True
ConsolidatedOtcDerivativeAssetsNetOfCrossmaturityNetting,Assets,Assets,0.8752286434173584,True
Chargessettledwithcommonunitsunitsissued,Other,Cost,0.249497652053833,False
TroubledDebtRestructuredLoansOutstandingAccrualStatus,Liabilities,Liabilities,0.6139777302742004,True
TreasuryStockAcquiredAverageCostPerShare,Equity,Cost,0.6036036610603333,False
SecuritiesLoanedAmountOffsetAgainstCollateral,Assets,Liabilities,0.46614497900009155,False
RentPayableRelatedParty,Liabilities,Other,0.5659695267677307,False
ReceivablefromRedemptionofForeignOperations,Assets,Other,0.42047053575515747,False
PaymentsOnLoans,Cash Flow,Cost,0.371248722076416,False
NonRecourseLongTermDebtCurrent,Liabilities,Liabilities,0.3677022457122803,True
DebtInstrumentStatedCouponRateInterestExpense,Expenses,Expenses,0.5569576025009155,True
OtherRestrictedAssetsCurrent,Assets,Other,0.5256446003913879,False
CapitalLeaseLeaseFinancingObligationsAndMortgageNotesPayable,Liabilities,Liabilities,0.3380912244319916,True
NotesAndLoansReceivableRecordedInvestmentSixtyToNinetyDaysPastDue,Assets,Liabilities,0.42300933599472046,False
AnnualSalesOfActoplus,Revenue,Revenue,0.42994776368141174,True
PreconfirmationLiabilitiesNotSubjectToCompromise,Liabilities,Liabilities,0.9476197957992554,True
LoansAndLeasesReceivableNetReportedAmountExcludingLoansOfConsolidatedVariableInterestEntities,Assets,Liabilities,0.37768641114234924,False
LetterofCreditReserveAmount,Other,Cost,0.32925334572792053,False
LoansAndLeasesReceivableSpecificProvisionRecovery,Assets,Liabilities,0.4695958197116852,False
EmployeeServiceCompensationCashAwards,Assets,Assets,0.22199364006519318,True
OtherDeductionsNet,Other,Other,0.7266843318939209,True
LegalCostsLicenseFeesAndPreparationCosts,Expenses,Expenses,0.5647529363632202,True
DirectorsFeesAndLiabilityInsurance,Liabilities,Expenses,0.39633291959762573,False
ScheduleOfSharebasedPaymentAwardStockOptionsValuationAssumptionsZeroThreeFiveThreeThreeZerorphfmTwoGdlOnenm,Equity,Assets,0.321738064289093,False
LossesonDispositionofPropertyandIntangibleImpairment,Expenses,Liabilities,0.4689197540283203,False
OtherPostretirementBenefitsPayments,Cash Flow,Other,0.8708882331848145,False
AcquisitionExpenseReimbursement,Expenses,Expenses,0.5449648499488831,True
EquityZeroThreeFiveThreeThreeZeroVqbkPtSNPWvV,Equity,Equity,0.8310756087303162,True
IssuanceOfCommonStockForInvestmentInChinaOperatingCompany,Assets,Assets,0.2659858465194702,True
DisposalGroupIncludingDiscontinuedOperationResearchAndDevelopmentExpense,Cost,Expenses,0.5788163542747498,False
EquipmentAcquiredThroughCapitalLeaseArrangements,Assets,Assets,0.41443803906440735,True
EatonCorp.andcertainothersubsidiariesguaranteeofSeniorDebt,Liabilities,Liabilities,0.32770562171936035,True
PercentageOfEconomicInterest,Other,Equity,0.1925981044769287,False
IntangibleAssetsZeroThreeFourNineFiveZeroHmbxznlBFiverFiveTwo,Assets,Assets,0.6324873566627502,True
NumberofSharesIssuedforloans,Equity,Equity,0.3336627781391144,True
PledgedAssetsSeparatelyReportedPropertyPlantEquipmentPledgedAsCollateral,Assets,Assets,0.8040643334388733,True
PaymentsOfDebtRestructuringAndExtinguishmentCosts,Expenses,Cost,0.7044824957847595,False
UnbilledContractsReceivableCurrent,Assets,Revenue,0.32253390550613403,False
ScheduleOfAssetsAtFairValueZeroThreeFourNineFourZeroGKJFourzTTwowRNinexn,Assets,Assets,0.9183968305587769,True
ConsultingAndAdvisoryRevenues,Revenue,Revenue,0.7911233305931091,True
LeverageRatioIncreaseInEventOfMaterialAcquisition,Other,Assets,0.2257242500782013,False
TotalOutstandingPromissoryNotes,Other,Revenue,0.24854369461536407,False
LoansAndLeasesReceivableMaximumPercentageConsumerLoans,Assets,Revenue,0.6658759713172913,False
CostsOfBillingsOnCompletedContractsOrPrograms,Expenses,Cost,0.5978325605392456,False
ConsumerAndCustomerDeposits,Other,Cost,0.20001250505447388,False
ServiceChargeOnLoans,Other,Cost,0.4248836934566498,False
GasMmcfPurchaseOfOilAndNaturalGasPropertiesInPlace,Cash Flow,Assets,0.36921826004981995,False
ScheduleOfDisclosureOfSharebasedCompensationArrangementsBySharebasedPaymentAwardZeroThreeFiveThreeThreeZeroJNinepNPKzFourlzfy,Cash Flow,Income,0.1992584764957428,False
LoansReceivableCommercialAgricultural,Assets,Revenue,0.26600366830825806,False
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOptionsUnvestedOutstandingNumber,Equity,Equity,0.8959645628929138,True
ProceedsFromUnconsolidatedJointVentureExcessOfCumulativeEarnings,Cash Flow,Income,0.31524574756622314,False
ComprehensiveIncomeLossFromEquityMethodInvestmentsNetOfTaxPeriodIncreaseDecrease,Assets,Equity,0.4690660834312439,False
GainFromWriteoffOfLongagedPayables,Liabilities,Income,0.19414328038692474,False
IncomeTaxExpenseRelatedToUnfavorableTaxSettlement,Expenses,Income,0.4482664167881012,False
BusinessCombinationAcquisitionRelatedFairValueAdjustmentsRevenue,Revenue,Revenue,0.7106413245201111,True
SiteContingencyNumberOfSitesWithPotentialRemediationObligations,Liabilities,Liabilities,0.27096810936927795,True
AccrualForEnvironmentalLossContingenciesUndiscountedDueInFourYearsNetOfEstimatedInsuranceProceeds,Cash Flow,Cost,0.3196733295917511,False
